2026-01-30T14:37:24+03:00
Running benchStr.exe
Run on (32 X 2494 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
std::string e;_stddev                                                                                              0.056 ns        0.052 ns           10
std::string e;_cv                                                                                                   4.93 %          4.69 %            10
std::string_view e;_mean                                                                                           0.364 ns        0.363 ns           10
std::string_view e;_median                                                                                         0.363 ns        0.361 ns           10
std::string_view e;_stddev                                                                                         0.005 ns        0.006 ns           10
std::string_view e;_cv                                                                                              1.42 %          1.75 %            10
ssa e;_mean                                                                                                        0.360 ns        0.359 ns           10
ssa e;_median                                                                                                      0.358 ns        0.361 ns           10
ssa e;_stddev                                                                                                      0.007 ns        0.009 ns           10
ssa e;_cv                                                                                                           1.86 %          2.53 %            10
stringa e;_mean                                                                                                    0.739 ns        0.739 ns           10
stringa e;_median                                                                                                  0.730 ns        0.732 ns           10
stringa e;_stddev                                                                                                  0.024 ns        0.024 ns           10
stringa e;_cv                                                                                                       3.23 %          3.21 %            10
lstringa<20> e;_mean                                                                                                1.11 ns         1.11 ns           10
lstringa<20> e;_median                                                                                              1.11 ns         1.10 ns           10
lstringa<20> e;_stddev                                                                                             0.033 ns        0.035 ns           10
lstringa<20> e;_cv                                                                                                  2.98 %          3.15 %            10
lstringa<40> e;_mean                                                                                                1.11 ns         1.11 ns           10
lstringa<40> e;_median                                                                                              1.10 ns         1.10 ns           10
lstringa<40> e;_stddev                                                                                             0.033 ns        0.035 ns           10
lstringa<40> e;_cv                                                                                                  2.98 %          3.15 %            10
-----  Create Str from short literal (9 symbols) --------/repeats:1                                                0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text";_mean                                                                              1.86 ns         1.86 ns           10
std::string e      = "Test text";_median                                                                            1.82 ns         1.82 ns           10
std::string e      = "Test text";_stddev                                                                           0.100 ns        0.107 ns           10
std::string e      = "Test text";_cv                                                                                5.41 %          5.74 %            10
std::string_view e = "Test text";_mean                                                                             0.728 ns        0.725 ns           10
std::string_view e = "Test text";_median                                                                           0.724 ns        0.724 ns           10
std::string_view e = "Test text";_stddev                                                                           0.025 ns        0.025 ns           10
std::string_view e = "Test text";_cv                                                                                3.45 %          3.44 %            10
ssa e              = "Test text";_mean                                                                             0.362 ns        0.361 ns           10
ssa e              = "Test text";_median                                                                           0.362 ns        0.361 ns           10
ssa e              = "Test text";_stddev                                                                           0.008 ns        0.008 ns           10
ssa e              = "Test text";_cv                                                                                2.17 %          2.34 %            10
stringa e          = "Test text";_mean                                                                              1.11 ns         1.10 ns           10
stringa e          = "Test text";_median                                                                            1.11 ns         1.10 ns           10
stringa e          = "Test text";_stddev                                                                           0.018 ns        0.025 ns           10
stringa e          = "Test text";_cv                                                                                1.60 %          2.28 %            10
lstringa<20> e     = "Test text";_mean                                                                              1.83 ns         1.82 ns           10
lstringa<20> e     = "Test text";_median                                                                            1.83 ns         1.84 ns           10
lstringa<20> e     = "Test text";_stddev                                                                           0.033 ns        0.037 ns           10
lstringa<20> e     = "Test text";_cv                                                                                1.80 %          2.05 %            10
lstringa<40> e     = "Test text";_mean                                                                              1.89 ns         1.89 ns           10
lstringa<40> e     = "Test text";_median                                                                            1.88 ns         1.88 ns           10
lstringa<40> e     = "Test text";_stddev                                                                           0.070 ns        0.067 ns           10
lstringa<40> e     = "Test text";_cv                                                                                3.72 %          3.56 %            10
-----  Create Str from long literal (30 symbols) ---------/repeats:1                                               0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890";_mean                                                         71.2 ns         71.1 ns           10
std::string e      = "123456789012345678901234567890";_median                                                       71.0 ns         71.5 ns           10
std::string e      = "123456789012345678901234567890";_stddev                                                       2.16 ns         2.57 ns           10
std::string e      = "123456789012345678901234567890";_cv                                                           3.04 %          3.62 %            10
std::string_view e = "123456789012345678901234567890";_mean                                                        0.722 ns        0.720 ns           10
std::string_view e = "123456789012345678901234567890";_median                                                      0.721 ns        0.715 ns           10
std::string_view e = "123456789012345678901234567890";_stddev                                                      0.010 ns        0.008 ns           10
std::string_view e = "123456789012345678901234567890";_cv                                                           1.42 %          1.17 %            10
ssa e              = "123456789012345678901234567890";_mean                                                        0.363 ns        0.363 ns           10
ssa e              = "123456789012345678901234567890";_median                                                      0.361 ns        0.361 ns           10
ssa e              = "123456789012345678901234567890";_stddev                                                      0.005 ns        0.006 ns           10
ssa e              = "123456789012345678901234567890";_cv                                                           1.29 %          1.75 %            10
stringa e          = "123456789012345678901234567890";_mean                                                         1.09 ns         1.09 ns           10
stringa e          = "123456789012345678901234567890";_median                                                       1.10 ns         1.10 ns           10
stringa e          = "123456789012345678901234567890";_stddev                                                      0.016 ns        0.021 ns           10
stringa e          = "123456789012345678901234567890";_cv                                                           1.50 %          1.89 %            10
lstringa<20> e     = "123456789012345678901234567890";_mean                                                         72.4 ns         72.3 ns           10
lstringa<20> e     = "123456789012345678901234567890";_median                                                       72.6 ns         72.5 ns           10
lstringa<20> e     = "123456789012345678901234567890";_stddev                                                       1.82 ns         1.84 ns           10
lstringa<20> e     = "123456789012345678901234567890";_cv                                                           2.52 %          2.54 %            10
lstringa<40> e     = "123456789012345678901234567890";_mean                                                         2.53 ns         2.52 ns           10
lstringa<40> e     = "123456789012345678901234567890";_median                                                       2.51 ns         2.51 ns           10
lstringa<40> e     = "123456789012345678901234567890";_stddev                                                      0.041 ns        0.035 ns           10
lstringa<40> e     = "123456789012345678901234567890";_cv                                                           1.63 %          1.40 %            10
-----  Create copy of Str with 9 symbols ---------/repeats:1                                                       0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text"; auto c{e};_mean                                                                   1.84 ns         1.83 ns           10
std::string e      = "Test text"; auto c{e};_median                                                                 1.84 ns         1.84 ns           10
std::string e      = "Test text"; auto c{e};_stddev                                                                0.024 ns        0.047 ns           10
std::string e      = "Test text"; auto c{e};_cv                                                                     1.31 %          2.57 %            10
std::string_view e = "Test text"; auto c{e};_mean                                                                  0.363 ns        0.363 ns           10
std::string_view e = "Test text"; auto c{e};_median                                                                0.362 ns        0.361 ns           10
std::string_view e = "Test text"; auto c{e};_stddev                                                                0.006 ns        0.008 ns           10
std::string_view e = "Test text"; auto c{e};_cv                                                                     1.68 %          2.09 %            10
ssa e              = "Test text"; auto c{e};_mean                                                                  0.367 ns        0.365 ns           10
ssa e              = "Test text"; auto c{e};_median                                                                0.366 ns        0.364 ns           10
ssa e              = "Test text"; auto c{e};_stddev                                                                0.006 ns        0.010 ns           10
ssa e              = "Test text"; auto c{e};_cv                                                                     1.65 %          2.69 %            10
stringa e          = "Test text"; auto c{e};_mean                                                                   1.28 ns         1.28 ns           10
stringa e          = "Test text"; auto c{e};_median                                                                 1.27 ns         1.27 ns           10
stringa e          = "Test text"; auto c{e};_stddev                                                                0.021 ns        0.023 ns           10
stringa e          = "Test text"; auto c{e};_cv                                                                     1.66 %          1.80 %            10
lstringa<20> e     = "Test text"; auto c{e};_mean                                                                   5.19 ns         5.19 ns           10
lstringa<20> e     = "Test text"; auto c{e};_median                                                                 5.12 ns         5.16 ns           10
lstringa<20> e     = "Test text"; auto c{e};_stddev                                                                0.405 ns        0.415 ns           10
lstringa<20> e     = "Test text"; auto c{e};_cv                                                                     7.80 %          7.99 %            10
lstringa<40> e     = "Test text"; auto c{e};_mean                                                                   4.84 ns         4.83 ns           10
lstringa<40> e     = "Test text"; auto c{e};_median                                                                 4.79 ns         4.76 ns           10
lstringa<40> e     = "Test text"; auto c{e};_stddev                                                                0.254 ns        0.274 ns           10
lstringa<40> e     = "Test text"; auto c{e};_cv                                                                     5.25 %          5.66 %            10
-----  Create copy of Str with 30 symbols ---------/repeats:1                                                      0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890"; auto c{e};_mean                                              75.0 ns         74.8 ns           10
std::string e      = "123456789012345678901234567890"; auto c{e};_median                                            74.5 ns         74.1 ns           10
std::string e      = "123456789012345678901234567890"; auto c{e};_stddev                                            2.25 ns         1.73 ns           10
std::string e      = "123456789012345678901234567890"; auto c{e};_cv                                                3.00 %          2.32 %            10
std::string_view e = "123456789012345678901234567890"; auto c{e};_mean                                             0.726 ns        0.724 ns           10
std::string_view e = "123456789012345678901234567890"; auto c{e};_median                                           0.728 ns        0.724 ns           10
std::string_view e = "123456789012345678901234567890"; auto c{e};_stddev                                           0.009 ns        0.009 ns           10
std::string_view e = "123456789012345678901234567890"; auto c{e};_cv                                                1.25 %          1.27 %            10
ssa e              = "123456789012345678901234567890"; auto c{e};_mean                                             0.362 ns        0.360 ns           10
ssa e              = "123456789012345678901234567890"; auto c{e};_median                                           0.363 ns        0.361 ns           10
ssa e              = "123456789012345678901234567890"; auto c{e};_stddev                                           0.005 ns        0.007 ns           10
ssa e              = "123456789012345678901234567890"; auto c{e};_cv                                                1.32 %          1.95 %            10
stringa e          = "123456789012345678901234567890"; auto c{e};_mean                                              1.84 ns         1.84 ns           10
stringa e          = "123456789012345678901234567890"; auto c{e};_median                                            1.82 ns         1.82 ns           10
stringa e          = "123456789012345678901234567890"; auto c{e};_stddev                                           0.052 ns        0.064 ns           10
stringa e          = "123456789012345678901234567890"; auto c{e};_cv                                                2.83 %          3.47 %            10
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_mean                                              75.5 ns         75.3 ns           10
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_median                                            75.0 ns         75.9 ns           10
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_stddev                                            2.57 ns         2.70 ns           10
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_cv                                                3.40 %          3.59 %            10
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_mean                                              4.47 ns         4.47 ns           10
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_median                                            4.46 ns         4.45 ns           10
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_stddev                                           0.166 ns        0.190 ns           10
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_cv                                                3.70 %          4.24 %            10
-----  Find 9 symbols text in end of 99 symbols text ---------/repeats:1                                           0.000 ns        0.000 ns   1000000000000
std::string::find;_mean                                                                                             39.2 ns         39.1 ns           10
std::string::find;_median                                                                                           39.1 ns         39.2 ns           10
std::string::find;_stddev                                                                                          0.874 ns         1.29 ns           10
std::string::find;_cv                                                                                               2.23 %          3.29 %            10
std::string_view::find;_mean                                                                                        39.4 ns         39.4 ns           10
std::string_view::find;_median                                                                                      39.1 ns         39.3 ns           10
std::string_view::find;_stddev                                                                                      1.48 ns         1.39 ns           10
std::string_view::find;_cv                                                                                          3.75 %          3.53 %            10
ssa::find;_mean                                                                                                     17.7 ns         17.6 ns           10
ssa::find;_median                                                                                                   17.6 ns         17.6 ns           10
ssa::find;_stddev                                                                                                  0.642 ns        0.585 ns           10
ssa::find;_cv                                                                                                       3.63 %          3.32 %            10
stringa::find;_mean                                                                                                 18.0 ns         18.1 ns           10
stringa::find;_median                                                                                               18.1 ns         18.0 ns           10
stringa::find;_stddev                                                                                              0.476 ns        0.526 ns           10
stringa::find;_cv                                                                                                   2.64 %          2.91 %            10
lstringa<20>::find;_mean                                                                                            18.6 ns         18.6 ns           10
lstringa<20>::find;_median                                                                                          18.4 ns         18.4 ns           10
lstringa<20>::find;_stddev                                                                                         0.914 ns        0.990 ns           10
lstringa<20>::find;_cv                                                                                              4.91 %          5.33 %            10
lstringa<40>::find;_mean                                                                                            17.6 ns         17.5 ns           10
lstringa<40>::find;_median                                                                                          17.9 ns         17.8 ns           10
lstringa<40>::find;_stddev                                                                                         0.550 ns        0.702 ns           10
lstringa<40>::find;_cv                                                                                              3.12 %          4.00 %            10
-------  Copy not literal Str with N symbols ---------/repeats:1                                                   0.000 ns        0.000 ns   1000000000000
std::string copy{str_with_len_N};/15_mean                                                                           1.83 ns         1.82 ns           10
std::string copy{str_with_len_N};/15_median                                                                         1.83 ns         1.80 ns           10
std::string copy{str_with_len_N};/15_stddev                                                                        0.031 ns        0.040 ns           10
std::string copy{str_with_len_N};/15_cv                                                                             1.70 %          2.22 %            10
std::string copy{str_with_len_N};/16_mean                                                                           77.0 ns         77.0 ns           10
std::string copy{str_with_len_N};/16_median                                                                         76.5 ns         77.4 ns           10
std::string copy{str_with_len_N};/16_stddev                                                                         2.00 ns         1.65 ns           10
std::string copy{str_with_len_N};/16_cv                                                                             2.60 %          2.14 %            10
std::string copy{str_with_len_N};/23_mean                                                                           76.6 ns         76.6 ns           10
std::string copy{str_with_len_N};/23_median                                                                         76.4 ns         75.9 ns           10
std::string copy{str_with_len_N};/23_stddev                                                                         2.18 ns         2.53 ns           10
std::string copy{str_with_len_N};/23_cv                                                                             2.84 %          3.30 %            10
std::string copy{str_with_len_N};/24_mean                                                                           78.5 ns         78.3 ns           10
std::string copy{str_with_len_N};/24_median                                                                         78.1 ns         77.4 ns           10
std::string copy{str_with_len_N};/24_stddev                                                                         4.12 ns         3.92 ns           10
std::string copy{str_with_len_N};/24_cv                                                                             5.25 %          5.00 %            10
std::string copy{str_with_len_N};/32_mean                                                                           83.9 ns         83.7 ns           10
std::string copy{str_with_len_N};/32_median                                                                         82.2 ns         82.0 ns           10
std::string copy{str_with_len_N};/32_stddev                                                                         7.49 ns         7.67 ns           10
std::string copy{str_with_len_N};/32_cv                                                                             8.93 %          9.16 %            10
std::string copy{str_with_len_N};/64_mean                                                                           80.9 ns         80.7 ns           10
std::string copy{str_with_len_N};/64_median                                                                         79.3 ns         78.5 ns           10
std::string copy{str_with_len_N};/64_stddev                                                                         4.28 ns         4.35 ns           10
std::string copy{str_with_len_N};/64_cv                                                                             5.28 %          5.39 %            10
std::string copy{str_with_len_N};/128_mean                                                                          87.4 ns         87.4 ns           10
std::string copy{str_with_len_N};/128_median                                                                        83.5 ns         83.0 ns           10
std::string copy{str_with_len_N};/128_stddev                                                                        7.38 ns         7.44 ns           10
std::string copy{str_with_len_N};/128_cv                                                                            8.44 %          8.51 %            10
std::string copy{str_with_len_N};/256_mean                                                                          84.4 ns         84.3 ns           10
std::string copy{str_with_len_N};/256_median                                                                        84.4 ns         83.7 ns           10
std::string copy{str_with_len_N};/256_stddev                                                                        1.25 ns         1.72 ns           10
std::string copy{str_with_len_N};/256_cv                                                                            1.48 %          2.04 %            10
std::string copy{str_with_len_N};/512_mean                                                                          86.3 ns         86.3 ns           10
std::string copy{str_with_len_N};/512_median                                                                        85.9 ns         85.4 ns           10
std::string copy{str_with_len_N};/512_stddev                                                                        1.68 ns         1.88 ns           10
std::string copy{str_with_len_N};/512_cv                                                                            1.94 %          2.18 %            10
std::string copy{str_with_len_N};/1024_mean                                                                         94.3 ns         94.2 ns           10
std::string copy{str_with_len_N};/1024_median                                                                       93.6 ns         93.1 ns           10
std::string copy{str_with_len_N};/1024_stddev                                                                       3.12 ns         2.96 ns           10
std::string copy{str_with_len_N};/1024_cv                                                                           3.31 %          3.14 %            10
std::string copy{str_with_len_N};/2048_mean                                                                          131 ns          131 ns           10
std::string copy{str_with_len_N};/2048_median                                                                        129 ns          128 ns           10
std::string copy{str_with_len_N};/2048_stddev                                                                       9.09 ns         9.37 ns           10
std::string copy{str_with_len_N};/2048_cv                                                                           6.96 %          7.18 %            10
std::string copy{str_with_len_N};/4096_mean                                                                          192 ns          192 ns           10
std::string copy{str_with_len_N};/4096_median                                                                        193 ns          193 ns           10
std::string copy{str_with_len_N};/4096_stddev                                                                       10.1 ns         9.63 ns           10
std::string copy{str_with_len_N};/4096_cv                                                                           5.28 %          5.02 %            10
stringa copy{str_with_len_N};/15_mean                                                                               1.29 ns         1.29 ns           10
stringa copy{str_with_len_N};/15_median                                                                             1.28 ns         1.29 ns           10
stringa copy{str_with_len_N};/15_stddev                                                                            0.050 ns        0.051 ns           10
stringa copy{str_with_len_N};/15_cv                                                                                 3.90 %          3.98 %            10
stringa copy{str_with_len_N};/16_mean                                                                               1.28 ns         1.28 ns           10
stringa copy{str_with_len_N};/16_median                                                                             1.26 ns         1.27 ns           10
stringa copy{str_with_len_N};/16_stddev                                                                            0.051 ns        0.048 ns           10
stringa copy{str_with_len_N};/16_cv                                                                                 3.95 %          3.73 %            10
stringa copy{str_with_len_N};/23_mean                                                                               1.27 ns         1.27 ns           10
stringa copy{str_with_len_N};/23_median                                                                             1.27 ns         1.27 ns           10
stringa copy{str_with_len_N};/23_stddev                                                                            0.025 ns        0.033 ns           10
stringa copy{str_with_len_N};/23_cv                                                                                 1.94 %          2.59 %            10
stringa copy{str_with_len_N};/24_mean                                                                               16.3 ns         16.4 ns           10
stringa copy{str_with_len_N};/24_median                                                                             16.0 ns         16.0 ns           10
stringa copy{str_with_len_N};/24_stddev                                                                             1.35 ns         1.26 ns           10
stringa copy{str_with_len_N};/24_cv                                                                                 8.27 %          7.68 %            10
stringa copy{str_with_len_N};/32_mean                                                                               15.9 ns         15.9 ns           10
stringa copy{str_with_len_N};/32_median                                                                             15.9 ns         15.9 ns           10
stringa copy{str_with_len_N};/32_stddev                                                                            0.251 ns        0.287 ns           10
stringa copy{str_with_len_N};/32_cv                                                                                 1.58 %          1.80 %            10
stringa copy{str_with_len_N};/64_mean                                                                               16.0 ns         15.9 ns           10
stringa copy{str_with_len_N};/64_median                                                                             15.9 ns         16.0 ns           10
stringa copy{str_with_len_N};/64_stddev                                                                            0.339 ns        0.235 ns           10
stringa copy{str_with_len_N};/64_cv                                                                                 2.12 %          1.48 %            10
stringa copy{str_with_len_N};/128_mean                                                                              15.8 ns         15.8 ns           10
stringa copy{str_with_len_N};/128_median                                                                            15.8 ns         15.7 ns           10
stringa copy{str_with_len_N};/128_stddev                                                                           0.087 ns        0.168 ns           10
stringa copy{str_with_len_N};/128_cv                                                                                0.55 %          1.07 %            10
stringa copy{str_with_len_N};/256_mean                                                                              15.8 ns         15.8 ns           10
stringa copy{str_with_len_N};/256_median                                                                            15.8 ns         15.7 ns           10
stringa copy{str_with_len_N};/256_stddev                                                                           0.067 ns        0.147 ns           10
stringa copy{str_with_len_N};/256_cv                                                                                0.43 %          0.93 %            10
stringa copy{str_with_len_N};/512_mean                                                                              15.7 ns         15.7 ns           10
stringa copy{str_with_len_N};/512_median                                                                            15.7 ns         15.7 ns           10
stringa copy{str_with_len_N};/512_stddev                                                                           0.053 ns        0.218 ns           10
stringa copy{str_with_len_N};/512_cv                                                                                0.34 %          1.39 %            10
stringa copy{str_with_len_N};/1024_mean                                                                             15.8 ns         15.8 ns           10
