Benchmarks of simstr, version 1.8.1
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Compiler Clang 22.0.0
2026-03-22T13:18:22+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.20, 0.67, 0.53
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
Find concat three std::string_median                                                                                 112 ns          112 ns            4
Find concat three std::string_stddev                                                                                2.70 ns         2.70 ns            4
Find concat three std::string_cv                                                                                    2.41 %          2.41 %             4
Find concat three strexpr_mean                                                                                      52.4 ns         52.4 ns            4
Find concat three strexpr_median                                                                                    52.6 ns         52.6 ns            4
Find concat three strexpr_stddev                                                                                    2.35 ns         2.35 ns            4
Find concat three strexpr_cv                                                                                        4.48 %          4.48 %             4
Find concat three simstr_mean                                                                                       18.9 ns         18.9 ns            4
Find concat three simstr_median                                                                                     18.8 ns         18.8 ns            4
Find concat three simstr_stddev                                                                                    0.278 ns        0.278 ns            4
Find concat three simstr_cv                                                                                         1.47 %          1.47 %             4
Find concat three stringzilla string_mean                                                                            153 ns          153 ns            4
Find concat three stringzilla string_median                                                                          153 ns          153 ns            4
Find concat three stringzilla string_stddev                                                                         1.37 ns         1.37 ns            4
Find concat three stringzilla string_cv                                                                             0.90 %          0.90 %             4
-----  Build Type Name ---------/repeats:1                                                                         0.000 ns        0.000 ns   1000000000000
BuildTypeNameStr 0/0_mean                                                                                           7.58 ns         7.58 ns            4
BuildTypeNameStr 0/0_median                                                                                         7.65 ns         7.65 ns            4
BuildTypeNameStr 0/0_stddev                                                                                        0.170 ns        0.170 ns            4
BuildTypeNameStr 0/0_cv                                                                                             2.25 %          2.25 %             4
BuildTypeNameExp 0/0_mean                                                                                           6.94 ns         6.94 ns            4
BuildTypeNameExp 0/0_median                                                                                         6.94 ns         6.94 ns            4
BuildTypeNameExp 0/0_stddev                                                                                        0.141 ns        0.141 ns            4
BuildTypeNameExp 0/0_cv                                                                                             2.03 %          2.03 %             4
BuildTypeNameSim 0/0_mean                                                                                           5.03 ns         5.03 ns            4
BuildTypeNameSim 0/0_median                                                                                         5.02 ns         5.02 ns            4
BuildTypeNameSim 0/0_stddev                                                                                        0.096 ns        0.096 ns            4
BuildTypeNameSim 0/0_cv                                                                                             1.91 %          1.91 %             4
BuildTypeNameStr 10/10_mean                                                                                         59.1 ns         59.1 ns            4
BuildTypeNameStr 10/10_median                                                                                       59.0 ns         59.0 ns            4
BuildTypeNameStr 10/10_stddev                                                                                       2.58 ns         2.58 ns            4
BuildTypeNameStr 10/10_cv                                                                                           4.37 %          4.37 %             4
BuildTypeNameExp 10/10_mean                                                                                         31.0 ns         31.0 ns            4
BuildTypeNameExp 10/10_median                                                                                       31.1 ns         31.1 ns            4
