Benchmarks of simstr, version 1.6.4
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html

Run on (32 X 2513.96 MHz CPU s)
Firefox: 146.0.1.60 webasm
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
BuildTypeNameExp 10/10_mean                                                                                         98.2 ns         98.2 ns            4
BuildTypeNameExp 10/10_median                                                                                       97.6 ns         97.6 ns            4
BuildTypeNameExp 10/10_stddev                                                                                       7.37 ns         7.37 ns            4
BuildTypeNameExp 10/10_cv                                                                                           7.51 %          7.51 %             4
BuildTypeNameSim 10/10_mean                                                                                         74.6 ns         74.6 ns            4
BuildTypeNameSim 10/10_median                                                                                       73.4 ns         73.4 ns            4
BuildTypeNameSim 10/10_stddev                                                                                       7.30 ns         7.30 ns            4
BuildTypeNameSim 10/10_cv                                                                                           9.79 %          9.79 %             4
-----  Replace string by copy -----/repeats:1                                                                      0.000 ns        0.000 ns   1000000000000
Concat with replace str_mean                                                                                         436 ns          436 ns            4
Concat with replace str_median                                                                                       435 ns          435 ns            4
Concat with replace str_stddev                                                                                      17.1 ns         17.1 ns            4
Concat with replace str_cv                                                                                          3.93 %          3.93 %             4
Concat with replace exp_mean                                                                                         259 ns          259 ns            4
Concat with replace exp_median                                                                                       261 ns          261 ns            4
Concat with replace exp_stddev                                                                                      10.3 ns         10.3 ns            4
Concat with replace exp_cv                                                                                          3.97 %          3.97 %             4
-----  Create Empty Str ---------/repeats:1                                                                        0.000 ns        0.000 ns   1000000000000
std::string e;_mean                                                                                                 2.15 ns         2.15 ns            4
std::string e;_median                                                                                               2.15 ns         2.15 ns            4
std::string e;_stddev                                                                                              0.034 ns        0.034 ns            4
std::string e;_cv                                                                                                   1.59 %          1.59 %             4
std::string_view e;_mean                                                                                            1.03 ns         1.03 ns            4
std::string_view e;_median                                                                                          1.02 ns         1.02 ns            4
std::string_view e;_stddev                                                                                         0.041 ns        0.041 ns            4
std::string_view e;_cv                                                                                              4.01 %          4.01 %             4
ssa e;_mean                                                                                                        0.941 ns        0.941 ns            4
ssa e;_median                                                                                                      0.939 ns        0.939 ns            4
ssa e;_stddev                                                                                                      0.009 ns        0.009 ns            4
ssa e;_cv                                                                                                           0.96 %          0.96 %             4
stringa e;_mean                                                                                                     2.15 ns         2.15 ns            4
stringa e;_median                                                                                                   2.15 ns         2.15 ns            4
stringa e;_stddev                                                                                                  0.005 ns        0.005 ns            4
stringa e;_cv                                                                                                       0.23 %          0.23 %             4
lstringa<20> e;_mean                                                                                                2.25 ns         2.25 ns            4
lstringa<20> e;_median                                                                                              2.23 ns         2.23 ns            4
lstringa<20> e;_stddev                                                                                             0.076 ns        0.076 ns            4
lstringa<20> e;_cv                                                                                                  3.40 %          3.40 %             4
lstringa<40> e;_mean                                                                                                2.51 ns         2.51 ns            4
lstringa<40> e;_median                                                                                              2.51 ns         2.51 ns            4
lstringa<40> e;_stddev                                                                                             0.020 ns        0.020 ns            4
lstringa<40> e;_cv                                                                                                  0.78 %          0.78 %             4
-----  Create Str from short literal (9 symbols) --------/repeats:1                                                0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text";_mean                                                                              2.32 ns         2.32 ns            4
std::string e      = "Test text";_median                                                                            2.28 ns         2.28 ns            4
std::string e      = "Test text";_stddev                                                                           0.090 ns        0.090 ns            4
std::string e      = "Test text";_cv                                                                                3.87 %          3.87 %             4
std::string_view e = "Test text";_mean                                                                              1.23 ns         1.23 ns            4
std::string_view e = "Test text";_median                                                                            1.24 ns         1.24 ns            4
std::string_view e = "Test text";_stddev                                                                           0.011 ns        0.011 ns            4
std::string_view e = "Test text";_cv                                                                                0.89 %          0.89 %             4
ssa e              = "Test text";_mean                                                                             0.982 ns        0.982 ns            4
ssa e              = "Test text";_median                                                                           0.975 ns        0.975 ns            4
ssa e              = "Test text";_stddev                                                                           0.028 ns        0.028 ns            4
ssa e              = "Test text";_cv                                                                                2.84 %          2.84 %             4
stringa e          = "Test text";_mean                                                                              2.25 ns         2.25 ns            4
stringa e          = "Test text";_median                                                                            2.26 ns         2.26 ns            4
stringa e          = "Test text";_stddev                                                                           0.135 ns        0.135 ns            4
stringa e          = "Test text";_cv                                                                                5.98 %          5.98 %             4
lstringa<20> e     = "Test text";_mean                                                                              2.73 ns         2.73 ns            4
lstringa<20> e     = "Test text";_median                                                                            2.71 ns         2.71 ns            4
lstringa<20> e     = "Test text";_stddev                                                                           0.108 ns        0.108 ns            4
lstringa<20> e     = "Test text";_cv                                                                                3.95 %          3.95 %             4
lstringa<40> e     = "Test text";_mean                                                                              2.65 ns         2.65 ns            4
lstringa<40> e     = "Test text";_median                                                                            2.65 ns         2.65 ns            4
lstringa<40> e     = "Test text";_stddev                                                                           0.007 ns        0.007 ns            4
lstringa<40> e     = "Test text";_cv                                                                                0.26 %          0.26 %             4
-----  Create Str from long literal (30 symbols) ---------/repeats:1                                               0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890";_mean                                                         15.9 ns         15.9 ns            4
std::string e      = "123456789012345678901234567890";_median                                                       15.9 ns         15.9 ns            4
std::string e      = "123456789012345678901234567890";_stddev                                                      0.414 ns        0.414 ns            4
std::string e      = "123456789012345678901234567890";_cv                                                           2.61 %          2.61 %             4
std::string_view e = "123456789012345678901234567890";_mean                                                         1.26 ns         1.26 ns            4
std::string_view e = "123456789012345678901234567890";_median                                                       1.26 ns         1.26 ns            4
std::string_view e = "123456789012345678901234567890";_stddev                                                      0.054 ns        0.054 ns            4
std::string_view e = "123456789012345678901234567890";_cv                                                           4.29 %          4.29 %             4
ssa e              = "123456789012345678901234567890";_mean                                                        0.971 ns        0.971 ns            4
ssa e              = "123456789012345678901234567890";_median                                                      0.972 ns        0.972 ns            4
ssa e              = "123456789012345678901234567890";_stddev                                                      0.015 ns        0.015 ns            4
ssa e              = "123456789012345678901234567890";_cv                                                           1.51 %          1.51 %             4
stringa e          = "123456789012345678901234567890";_mean                                                         2.23 ns         2.23 ns            4
stringa e          = "123456789012345678901234567890";_median                                                       2.22 ns         2.22 ns            4
stringa e          = "123456789012345678901234567890";_stddev                                                      0.062 ns        0.062 ns            4
stringa e          = "123456789012345678901234567890";_cv                                                           2.80 %          2.80 %             4
lstringa<20> e     = "123456789012345678901234567890";_mean                                                         16.5 ns         16.5 ns            4
lstringa<20> e     = "123456789012345678901234567890";_median                                                       16.6 ns         16.6 ns            4
lstringa<20> e     = "123456789012345678901234567890";_stddev                                                      0.463 ns        0.463 ns            4
lstringa<20> e     = "123456789012345678901234567890";_cv                                                           2.80 %          2.80 %             4
lstringa<40> e     = "123456789012345678901234567890";_mean                                                         3.16 ns         3.16 ns            4
lstringa<40> e     = "123456789012345678901234567890";_median                                                       3.11 ns         3.11 ns            4
lstringa<40> e     = "123456789012345678901234567890";_stddev                                                      0.289 ns        0.289 ns            4
lstringa<40> e     = "123456789012345678901234567890";_cv                                                           9.16 %          9.16 %             4
-----  Create copy of Str with 9 symbols ---------/repeats:1                                                       0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text"; auto c{e};_mean                                                                   2.24 ns         2.24 ns            4
std::string e      = "Test text"; auto c{e};_median                                                                 2.24 ns         2.24 ns            4
std::string e      = "Test text"; auto c{e};_stddev                                                                0.055 ns        0.055 ns            4
std::string e      = "Test text"; auto c{e};_cv                                                                     2.45 %          2.45 %             4
std::string_view e = "Test text"; auto c{e};_mean                                                                   1.24 ns         1.24 ns            4
std::string_view e = "Test text"; auto c{e};_median                                                                 1.24 ns         1.24 ns            4
std::string_view e = "Test text"; auto c{e};_stddev                                                                0.014 ns        0.014 ns            4
std::string_view e = "Test text"; auto c{e};_cv                                                                     1.13 %          1.13 %             4
ssa e              = "Test text"; auto c{e};_mean                                                                   1.23 ns         1.23 ns            4
ssa e              = "Test text"; auto c{e};_median                                                                 1.24 ns         1.24 ns            4
ssa e              = "Test text"; auto c{e};_stddev                                                                0.034 ns        0.034 ns            4
ssa e              = "Test text"; auto c{e};_cv                                                                     2.78 %          2.78 %             4
stringa e          = "Test text"; auto c{e};_mean                                                                   2.61 ns         2.61 ns            4
stringa e          = "Test text"; auto c{e};_median                                                                 2.61 ns         2.61 ns            4
stringa e          = "Test text"; auto c{e};_stddev                                                                0.058 ns        0.058 ns            4
stringa e          = "Test text"; auto c{e};_cv                                                                     2.21 %          2.21 %             4
lstringa<20> e     = "Test text"; auto c{e};_mean                                                                   16.2 ns         16.2 ns            4
lstringa<20> e     = "Test text"; auto c{e};_median                                                                 16.1 ns         16.1 ns            4
lstringa<20> e     = "Test text"; auto c{e};_stddev                                                                 1.26 ns         1.26 ns            4
lstringa<20> e     = "Test text"; auto c{e};_cv                                                                     7.76 %          7.76 %             4
lstringa<40> e     = "Test text"; auto c{e};_mean                                                                   14.7 ns         14.7 ns            4
lstringa<40> e     = "Test text"; auto c{e};_median                                                                 14.7 ns         14.7 ns            4
lstringa<40> e     = "Test text"; auto c{e};_stddev                                                                0.936 ns        0.936 ns            4
lstringa<40> e     = "Test text"; auto c{e};_cv                                                                     6.38 %          6.38 %             4
-----  Create copy of Str with 30 symbols ---------/repeats:1                                                      0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890"; auto c{e};_mean                                              37.7 ns         37.7 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_median                                            38.0 ns         38.0 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_stddev                                            1.53 ns         1.53 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_cv                                                4.06 %          4.06 %             4
std::string_view e = "123456789012345678901234567890"; auto c{e};_mean                                              1.23 ns         1.23 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_median                                            1.22 ns         1.22 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_stddev                                           0.022 ns        0.022 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_cv                                                1.83 %          1.83 %             4
ssa e              = "123456789012345678901234567890"; auto c{e};_mean                                             0.989 ns        0.989 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_median                                           0.986 ns        0.986 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_stddev                                           0.025 ns        0.025 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_cv                                                2.55 %          2.55 %             4
stringa e          = "123456789012345678901234567890"; auto c{e};_mean                                              2.19 ns         2.19 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_median                                            2.18 ns         2.18 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_stddev                                           0.016 ns        0.016 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_cv                                                0.74 %          0.74 %             4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_mean                                              16.2 ns         16.2 ns            4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_median                                            16.1 ns         16.1 ns            4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_stddev                                           0.579 ns        0.579 ns            4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_cv                                                3.58 %          3.58 %             4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_mean                                              13.7 ns         13.7 ns            4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_median                                            13.7 ns         13.7 ns            4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_stddev                                           0.534 ns        0.534 ns            4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_cv                                                3.88 %          3.88 %             4
-----  Find 9 symbols text in end of 99 symbols text ---------/repeats:1                                           0.000 ns        0.000 ns   1000000000000
std::string::find;_mean                                                                                             45.9 ns         45.9 ns            4
std::string::find;_median                                                                                           45.8 ns         45.8 ns            4
std::string::find;_stddev                                                                                          0.967 ns        0.967 ns            4
std::string::find;_cv                                                                                               2.11 %          2.11 %             4
std::string_view::find;_mean                                                                                        51.0 ns         51.0 ns            4
std::string_view::find;_median                                                                                      51.2 ns         51.2 ns            4
std::string_view::find;_stddev                                                                                      1.35 ns         1.35 ns            4
std::string_view::find;_cv                                                                                          2.65 %          2.65 %             4
ssa::find;_mean                                                                                                     48.9 ns         48.9 ns            4
ssa::find;_median                                                                                                   48.9 ns         48.9 ns            4
ssa::find;_stddev                                                                                                  0.252 ns        0.252 ns            4
ssa::find;_cv                                                                                                       0.52 %          0.52 %             4
stringa::find;_mean                                                                                                 51.8 ns         51.8 ns            4
stringa::find;_median                                                                                               52.0 ns         52.0 ns            4
stringa::find;_stddev                                                                                               2.78 ns         2.78 ns            4
stringa::find;_cv                                                                                                   5.36 %          5.36 %             4
lstringa<20>::find;_mean                                                                                            44.6 ns         44.6 ns            4
lstringa<20>::find;_median                                                                                          44.8 ns         44.8 ns            4
lstringa<20>::find;_stddev                                                                                          1.35 ns         1.35 ns            4
lstringa<20>::find;_cv                                                                                              3.02 %          3.02 %             4
lstringa<40>::find;_mean                                                                                            43.8 ns         43.8 ns            4
lstringa<40>::find;_median                                                                                          43.5 ns         43.5 ns            4
lstringa<40>::find;_stddev                                                                                          1.45 ns         1.45 ns            4
lstringa<40>::find;_cv                                                                                              3.31 %          3.31 %             4
-------  Copy not literal Str with N symbols ---------/repeats:1                                                   0.000 ns        0.000 ns   1000000000000
std::string copy{str_with_len_N};/15_mean                                                                           38.2 ns         38.2 ns            4
std::string copy{str_with_len_N};/15_median                                                                         38.0 ns         38.0 ns            4
std::string copy{str_with_len_N};/15_stddev                                                                         1.61 ns         1.61 ns            4
std::string copy{str_with_len_N};/15_cv                                                                             4.23 %          4.23 %             4
std::string copy{str_with_len_N};/16_mean                                                                           36.1 ns         36.1 ns            4
std::string copy{str_with_len_N};/16_median                                                                         36.0 ns         36.0 ns            4
std::string copy{str_with_len_N};/16_stddev                                                                        0.461 ns        0.461 ns            4
std::string copy{str_with_len_N};/16_cv                                                                             1.28 %          1.28 %             4
std::string copy{str_with_len_N};/23_mean                                                                           36.6 ns         36.6 ns            4
std::string copy{str_with_len_N};/23_median                                                                         36.1 ns         36.1 ns            4
std::string copy{str_with_len_N};/23_stddev                                                                         1.53 ns         1.53 ns            4
std::string copy{str_with_len_N};/23_cv                                                                             4.18 %          4.18 %             4
std::string copy{str_with_len_N};/24_mean                                                                           37.7 ns         37.7 ns            4
std::string copy{str_with_len_N};/24_median                                                                         36.9 ns         36.9 ns            4
std::string copy{str_with_len_N};/24_stddev                                                                         2.37 ns         2.37 ns            4
std::string copy{str_with_len_N};/24_cv                                                                             6.27 %          6.27 %             4
std::string copy{str_with_len_N};/32_mean                                                                           45.9 ns         45.9 ns            4
std::string copy{str_with_len_N};/32_median                                                                         39.2 ns         39.2 ns            4
std::string copy{str_with_len_N};/32_stddev                                                                         14.4 ns         14.4 ns            4
std::string copy{str_with_len_N};/32_cv                                                                            31.41 %         31.41 %             4
std::string copy{str_with_len_N};/64_mean                                                                           44.9 ns         44.9 ns            4
std::string copy{str_with_len_N};/64_median                                                                         41.3 ns         41.3 ns            4
std::string copy{str_with_len_N};/64_stddev                                                                         8.96 ns         8.96 ns            4
std::string copy{str_with_len_N};/64_cv                                                                            19.94 %         19.94 %             4
std::string copy{str_with_len_N};/128_mean                                                                          44.1 ns         44.1 ns            4
std::string copy{str_with_len_N};/128_median                                                                        41.2 ns         41.2 ns            4
std::string copy{str_with_len_N};/128_stddev                                                                        7.30 ns         7.30 ns            4
std::string copy{str_with_len_N};/128_cv                                                                           16.54 %         16.54 %             4
std::string copy{str_with_len_N};/256_mean                                                                          54.8 ns         54.8 ns            4
std::string copy{str_with_len_N};/256_median                                                                        52.8 ns         52.8 ns            4
std::string copy{str_with_len_N};/256_stddev                                                                        11.7 ns         11.7 ns            4
std::string copy{str_with_len_N};/256_cv                                                                           21.36 %         21.36 %             4
std::string copy{str_with_len_N};/512_mean                                                                          53.5 ns         53.5 ns            4
std::string copy{str_with_len_N};/512_median                                                                        49.5 ns         49.5 ns            4
std::string copy{str_with_len_N};/512_stddev                                                                        10.2 ns         10.2 ns            4
std::string copy{str_with_len_N};/512_cv                                                                           18.99 %         18.99 %             4
std::string copy{str_with_len_N};/1024_mean                                                                         62.2 ns         62.2 ns            4
std::string copy{str_with_len_N};/1024_median                                                                       59.3 ns         59.3 ns            4
std::string copy{str_with_len_N};/1024_stddev                                                                       7.42 ns         7.42 ns            4
std::string copy{str_with_len_N};/1024_cv                                                                          11.94 %         11.94 %             4
std::string copy{str_with_len_N};/2048_mean                                                                         88.4 ns         88.4 ns            4
std::string copy{str_with_len_N};/2048_median                                                                       87.3 ns         87.3 ns            4
std::string copy{str_with_len_N};/2048_stddev                                                                       5.17 ns         5.17 ns            4
std::string copy{str_with_len_N};/2048_cv                                                                           5.85 %          5.85 %             4
std::string copy{str_with_len_N};/4096_mean                                                                          154 ns          154 ns            4
std::string copy{str_with_len_N};/4096_median                                                                        152 ns          152 ns            4
std::string copy{str_with_len_N};/4096_stddev                                                                       13.5 ns         13.5 ns            4
std::string copy{str_with_len_N};/4096_cv                                                                           8.80 %          8.80 %             4
