Benchmarks of simstr, version 1.6.7
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html

2026-02-12T15:14:20+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.00, 0.00, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
Concat std::string by StrExpr to std::string_stddev                                                                 2.56 ns         2.56 ns            4
Concat std::string by StrExpr to std::string_cv                                                                     7.34 %          7.34 %             4
Concat stringa by StrExpr to stringa_mean                                                                           28.3 ns         28.3 ns            4
Concat stringa by StrExpr to stringa_median                                                                         28.2 ns         28.2 ns            4
Concat stringa by StrExpr to stringa_stddev                                                                        0.824 ns        0.824 ns            4
Concat stringa by StrExpr to stringa_cv                                                                             2.92 %          2.92 %             4
-----  Find three concatenated string in string_view -----/repeats:1                                               0.000 ns        0.000 ns   1000000000000
Find concat three std::string_mean                                                                                   111 ns          111 ns            4
Find concat three std::string_median                                                                                 111 ns          111 ns            4
Find concat three std::string_stddev                                                                                4.64 ns         4.64 ns            4
Find concat three std::string_cv                                                                                    4.17 %          4.17 %             4
Find concat three strexpr_mean                                                                                      49.2 ns         49.2 ns            4
Find concat three strexpr_median                                                                                    48.8 ns         48.8 ns            4
Find concat three strexpr_stddev                                                                                    1.41 ns         1.41 ns            4
Find concat three strexpr_cv                                                                                        2.87 %          2.87 %             4
Find concat three simstr_mean                                                                                       19.1 ns         19.1 ns            4
Find concat three simstr_median                                                                                     19.1 ns         19.1 ns            4
Find concat three simstr_stddev                                                                                    0.472 ns        0.472 ns            4
Find concat three simstr_cv                                                                                         2.47 %          2.47 %             4
-----  Build Type Name ---------/repeats:1                                                                         0.000 ns        0.000 ns   1000000000000
BuildTypeNameStr 0/0_mean                                                                                           7.02 ns         7.02 ns            4
BuildTypeNameStr 0/0_median                                                                                         7.02 ns         7.02 ns            4
BuildTypeNameStr 0/0_stddev                                                                                        0.143 ns        0.143 ns            4
BuildTypeNameStr 0/0_cv                                                                                             2.04 %          2.04 %             4
BuildTypeNameExp 0/0_mean                                                                                           7.31 ns         7.31 ns            4
BuildTypeNameExp 0/0_median                                                                                         7.28 ns         7.28 ns            4
BuildTypeNameExp 0/0_stddev                                                                                        0.148 ns        0.148 ns            4
BuildTypeNameExp 0/0_cv                                                                                             2.02 %          2.02 %             4
BuildTypeNameSim 0/0_mean                                                                                           4.80 ns         4.80 ns            4
BuildTypeNameSim 0/0_median                                                                                         4.78 ns         4.78 ns            4
BuildTypeNameSim 0/0_stddev                                                                                        0.146 ns        0.146 ns            4
BuildTypeNameSim 0/0_cv                                                                                             3.03 %          3.03 %             4
BuildTypeNameStr 10/10_mean                                                                                         54.8 ns         54.8 ns            4
BuildTypeNameStr 10/10_median                                                                                       54.9 ns         54.9 ns            4
BuildTypeNameStr 10/10_stddev                                                                                       2.34 ns         2.34 ns            4
BuildTypeNameStr 10/10_cv                                                                                           4.28 %          4.28 %             4
BuildTypeNameExp 10/10_mean                                                                                         30.2 ns         30.2 ns            4
BuildTypeNameExp 10/10_median                                                                                       30.2 ns         30.2 ns            4
BuildTypeNameExp 10/10_stddev                                                                                      0.435 ns        0.435 ns            4
BuildTypeNameExp 10/10_cv                                                                                           1.44 %          1.44 %             4
BuildTypeNameSim 10/10_mean                                                                                         22.5 ns         22.5 ns            4
BuildTypeNameSim 10/10_median                                                                                       22.4 ns         22.4 ns            4
BuildTypeNameSim 10/10_stddev                                                                                      0.524 ns        0.524 ns            4
BuildTypeNameSim 10/10_cv                                                                                           2.33 %          2.33 %             4
-----  Replace string by copy -----/repeats:1                                                                      0.000 ns        0.000 ns   1000000000000
Concat with replace str_mean                                                                                         207 ns          207 ns            4
Concat with replace str_median                                                                                       207 ns          207 ns            4
Concat with replace str_stddev                                                                                      3.33 ns         3.33 ns            4
Concat with replace str_cv                                                                                          1.61 %          1.61 %             4
Concat with replace exp_mean                                                                                         138 ns          138 ns            4
Concat with replace exp_median                                                                                       139 ns          139 ns            4
Concat with replace exp_stddev                                                                                      1.77 ns         1.77 ns            4
Concat with replace exp_cv                                                                                          1.28 %          1.28 %             4
-----  Create Empty Str ---------/repeats:1                                                                        0.000 ns        0.000 ns   1000000000000
std::string e;_mean                                                                                                 1.10 ns         1.10 ns            4
std::string e;_median                                                                                               1.10 ns         1.10 ns            4
std::string e;_stddev                                                                                              0.021 ns        0.021 ns            4
std::string e;_cv                                                                                                   1.87 %          1.87 %             4
std::string_view e;_mean                                                                                           0.372 ns        0.372 ns            4
std::string_view e;_median                                                                                         0.369 ns        0.369 ns            4
std::string_view e;_stddev                                                                                         0.005 ns        0.005 ns            4
std::string_view e;_cv                                                                                              1.42 %          1.42 %             4
ssa e;_mean                                                                                                        0.363 ns        0.363 ns            4
ssa e;_median                                                                                                      0.363 ns        0.363 ns            4
ssa e;_stddev                                                                                                      0.004 ns        0.004 ns            4
ssa e;_cv                                                                                                           1.23 %          1.23 %             4
stringa e;_mean                                                                                                    0.735 ns        0.735 ns            4
stringa e;_median                                                                                                  0.735 ns        0.735 ns            4
stringa e;_stddev                                                                                                  0.009 ns        0.009 ns            4
stringa e;_cv                                                                                                       1.16 %          1.16 %             4
lstringa<20> e;_mean                                                                                                1.10 ns         1.10 ns            4
lstringa<20> e;_median                                                                                              1.10 ns         1.10 ns            4
lstringa<20> e;_stddev                                                                                             0.012 ns        0.012 ns            4
lstringa<20> e;_cv                                                                                                  1.07 %          1.07 %             4
lstringa<40> e;_mean                                                                                                1.10 ns         1.10 ns            4
lstringa<40> e;_median                                                                                              1.08 ns         1.08 ns            4
lstringa<40> e;_stddev                                                                                             0.047 ns        0.047 ns            4
lstringa<40> e;_cv                                                                                                  4.21 %          4.21 %             4
-----  Create Str from short literal (9 symbols) --------/repeats:1                                                0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text";_mean                                                                              1.84 ns         1.84 ns            4
std::string e      = "Test text";_median                                                                            1.85 ns         1.85 ns            4
std::string e      = "Test text";_stddev                                                                           0.036 ns        0.036 ns            4
std::string e      = "Test text";_cv                                                                                1.93 %          1.93 %             4
std::string_view e = "Test text";_mean                                                                             0.739 ns        0.739 ns            4
std::string_view e = "Test text";_median                                                                           0.738 ns        0.738 ns            4
std::string_view e = "Test text";_stddev                                                                           0.009 ns        0.009 ns            4
std::string_view e = "Test text";_cv                                                                                1.24 %          1.24 %             4
ssa e              = "Test text";_mean                                                                             0.363 ns        0.363 ns            4
ssa e              = "Test text";_median                                                                           0.363 ns        0.363 ns            4
ssa e              = "Test text";_stddev                                                                           0.005 ns        0.005 ns            4
ssa e              = "Test text";_cv                                                                                1.48 %          1.48 %             4
stringa e          = "Test text";_mean                                                                              1.11 ns         1.11 ns            4
stringa e          = "Test text";_median                                                                            1.11 ns         1.11 ns            4
stringa e          = "Test text";_stddev                                                                           0.025 ns        0.025 ns            4
stringa e          = "Test text";_cv                                                                                2.26 %          2.26 %             4
lstringa<20> e     = "Test text";_mean                                                                              1.87 ns         1.87 ns            4
lstringa<20> e     = "Test text";_median                                                                            1.87 ns         1.87 ns            4
