2026-01-31T15:25:07+03:00
Running benchStr.exe
Run on (32 X 2494 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_cv                                                1.86 %          2.24 %            10
-----  Find 9 symbols text in end of 99 symbols text ---------/repeats:1                                           0.000 ns        0.000 ns   1000000000000
std::string::find;_mean                                                                                             41.9 ns         41.9 ns           10
std::string::find;_median                                                                                           40.9 ns         40.8 ns           10
std::string::find;_stddev                                                                                           3.34 ns         3.16 ns           10
std::string::find;_cv                                                                                               7.96 %          7.55 %            10
std::string_view::find;_mean                                                                                        39.7 ns         39.7 ns           10
std::string_view::find;_median                                                                                      39.6 ns         39.2 ns           10
std::string_view::find;_stddev                                                                                     0.742 ns        0.942 ns           10
std::string_view::find;_cv                                                                                          1.87 %          2.37 %            10
ssa::find;_mean                                                                                                     20.6 ns         20.5 ns           10
ssa::find;_median                                                                                                   20.5 ns         20.4 ns           10
ssa::find;_stddev                                                                                                  0.425 ns        0.417 ns           10
ssa::find;_cv                                                                                                       2.06 %          2.03 %            10
stringa::find;_mean                                                                                                 28.7 ns         28.6 ns           10
stringa::find;_median                                                                                               29.1 ns         29.2 ns           10
stringa::find;_stddev                                                                                               1.41 ns         1.68 ns           10
stringa::find;_cv                                                                                                   4.92 %          5.86 %            10
lstringa<20>::find;_mean                                                                                            20.7 ns         20.7 ns           10
lstringa<20>::find;_median                                                                                          20.7 ns         20.9 ns           10
lstringa<20>::find;_stddev                                                                                         0.325 ns        0.234 ns           10
lstringa<20>::find;_cv                                                                                              1.57 %          1.13 %            10
lstringa<40>::find;_mean                                                                                            21.9 ns         21.8 ns           10
lstringa<40>::find;_median                                                                                          21.9 ns         21.7 ns           10
lstringa<40>::find;_stddev                                                                                         0.285 ns        0.431 ns           10
lstringa<40>::find;_cv                                                                                              1.30 %          1.97 %            10
-------  Copy not literal Str with N symbols ---------/repeats:1                                                   0.000 ns        0.000 ns   1000000000000
std::string copy{str_with_len_N};/15_mean                                                                           5.06 ns         5.05 ns           10
std::string copy{str_with_len_N};/15_median                                                                         5.09 ns         5.00 ns           10
std::string copy{str_with_len_N};/15_stddev                                                                        0.086 ns        0.105 ns           10
std::string copy{str_with_len_N};/15_cv                                                                             1.69 %          2.09 %            10
std::string copy{str_with_len_N};/16_mean                                                                           84.4 ns         84.4 ns           10
std::string copy{str_with_len_N};/16_median                                                                         84.2 ns         83.7 ns           10
std::string copy{str_with_len_N};/16_stddev                                                                         2.50 ns         2.75 ns           10
std::string copy{str_with_len_N};/16_cv                                                                             2.96 %          3.26 %            10
std::string copy{str_with_len_N};/23_mean                                                                           89.2 ns         89.1 ns           10
std::string copy{str_with_len_N};/23_median                                                                         88.5 ns         88.1 ns           10
std::string copy{str_with_len_N};/23_stddev                                                                         3.68 ns         3.98 ns           10
std::string copy{str_with_len_N};/23_cv                                                                             4.13 %          4.47 %            10
std::string copy{str_with_len_N};/24_mean                                                                           87.8 ns         87.7 ns           10
std::string copy{str_with_len_N};/24_median                                                                         86.5 ns         87.2 ns           10
std::string copy{str_with_len_N};/24_stddev                                                                         3.60 ns         3.29 ns           10
std::string copy{str_with_len_N};/24_cv                                                                             4.10 %          3.75 %            10
std::string copy{str_with_len_N};/32_mean                                                                           88.9 ns         88.9 ns           10
std::string copy{str_with_len_N};/32_median                                                                         88.1 ns         88.1 ns           10
std::string copy{str_with_len_N};/32_stddev                                                                         3.54 ns         3.49 ns           10
std::string copy{str_with_len_N};/32_cv                                                                             3.98 %          3.92 %            10
std::string copy{str_with_len_N};/64_mean                                                                           86.8 ns         86.7 ns           10
std::string copy{str_with_len_N};/64_median                                                                         87.5 ns         87.2 ns           10
std::string copy{str_with_len_N};/64_stddev                                                                         2.52 ns         2.97 ns           10
std::string copy{str_with_len_N};/64_cv                                                                             2.90 %          3.43 %            10
std::string copy{str_with_len_N};/128_mean                                                                          90.9 ns         91.0 ns           10
std::string copy{str_with_len_N};/128_median                                                                        90.3 ns         90.0 ns           10
std::string copy{str_with_len_N};/128_stddev                                                                        1.52 ns         2.03 ns           10
std::string copy{str_with_len_N};/128_cv                                                                            1.67 %          2.23 %            10
std::string copy{str_with_len_N};/256_mean                                                                          97.0 ns         95.6 ns           10
std::string copy{str_with_len_N};/256_median                                                                        94.3 ns         94.2 ns           10
std::string copy{str_with_len_N};/256_stddev                                                                        6.98 ns         5.92 ns           10
std::string copy{str_with_len_N};/256_cv                                                                            7.20 %          6.19 %            10
std::string copy{str_with_len_N};/512_mean                                                                          95.8 ns         95.7 ns           10
std::string copy{str_with_len_N};/512_median                                                                        93.2 ns         92.6 ns           10
std::string copy{str_with_len_N};/512_stddev                                                                        5.80 ns         6.32 ns           10
std::string copy{str_with_len_N};/512_cv                                                                            6.05 %          6.60 %            10
std::string copy{str_with_len_N};/1024_mean                                                                          101 ns          101 ns           10
std::string copy{str_with_len_N};/1024_median                                                                        102 ns          103 ns           10
std::string copy{str_with_len_N};/1024_stddev                                                                       3.06 ns         3.28 ns           10
std::string copy{str_with_len_N};/1024_cv                                                                           3.03 %          3.24 %            10
std::string copy{str_with_len_N};/2048_mean                                                                          128 ns          128 ns           10
std::string copy{str_with_len_N};/2048_median                                                                        129 ns          129 ns           10
std::string copy{str_with_len_N};/2048_stddev                                                                       4.19 ns         3.85 ns           10
std::string copy{str_with_len_N};/2048_cv                                                                           3.28 %          3.01 %            10
std::string copy{str_with_len_N};/4096_mean                                                                          179 ns          178 ns           10
std::string copy{str_with_len_N};/4096_median                                                                        179 ns          180 ns           10
std::string copy{str_with_len_N};/4096_stddev                                                                       5.38 ns         5.79 ns           10
std::string copy{str_with_len_N};/4096_cv                                                                           3.01 %          3.25 %            10
stringa copy{str_with_len_N};/15_mean                                                                               3.98 ns         3.96 ns           10
stringa copy{str_with_len_N};/15_median                                                                             3.98 ns         3.99 ns           10
stringa copy{str_with_len_N};/15_stddev                                                                            0.058 ns        0.075 ns           10
stringa copy{str_with_len_N};/15_cv                                                                                 1.47 %          1.88 %            10
stringa copy{str_with_len_N};/16_mean                                                                               3.99 ns         3.98 ns           10
stringa copy{str_with_len_N};/16_median                                                                             3.98 ns         3.97 ns           10
stringa copy{str_with_len_N};/16_stddev                                                                            0.042 ns        0.072 ns           10
stringa copy{str_with_len_N};/16_cv                                                                                 1.06 %          1.80 %            10
stringa copy{str_with_len_N};/23_mean                                                                               3.98 ns         3.98 ns           10
stringa copy{str_with_len_N};/23_median                                                                             3.99 ns         4.01 ns           10
stringa copy{str_with_len_N};/23_stddev                                                                            0.059 ns        0.074 ns           10
stringa copy{str_with_len_N};/23_cv                                                                                 1.49 %          1.85 %            10
stringa copy{str_with_len_N};/24_mean                                                                               18.3 ns         18.3 ns           10
stringa copy{str_with_len_N};/24_median                                                                             18.3 ns         18.4 ns           10
stringa copy{str_with_len_N};/24_stddev                                                                            0.106 ns        0.198 ns           10
stringa copy{str_with_len_N};/24_cv                                                                                 0.58 %          1.08 %            10
stringa copy{str_with_len_N};/32_mean                                                                               18.3 ns         18.3 ns           10
stringa copy{str_with_len_N};/32_median                                                                             18.3 ns         18.4 ns           10
stringa copy{str_with_len_N};/32_stddev                                                                            0.080 ns        0.176 ns           10
stringa copy{str_with_len_N};/32_cv                                                                                 0.43 %          0.96 %            10
stringa copy{str_with_len_N};/64_mean                                                                               18.4 ns         18.4 ns           10
stringa copy{str_with_len_N};/64_median                                                                             18.4 ns         18.4 ns           10
