2026-01-31T15:51:52+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.05, 0.01, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
BuildTypeNameExp 10/10_cv                                                                                           2.55 %          2.55 %            10
BuildTypeNameSim 10/10_mean                                                                                         23.0 ns         23.0 ns           10
BuildTypeNameSim 10/10_median                                                                                       23.0 ns         23.0 ns           10
BuildTypeNameSim 10/10_stddev                                                                                      0.351 ns        0.351 ns           10
BuildTypeNameSim 10/10_cv                                                                                           1.52 %          1.52 %            10
-----  Replace string by copy -----/repeats:1                                                                      0.000 ns        0.000 ns   1000000000000
Concat with replace str_mean                                                                                         229 ns          229 ns           10
Concat with replace str_median                                                                                       229 ns          229 ns           10
Concat with replace str_stddev                                                                                      7.92 ns         7.92 ns           10
Concat with replace str_cv                                                                                          3.46 %          3.46 %            10
Concat with replace exp_mean                                                                                         131 ns          131 ns           10
Concat with replace exp_median                                                                                       131 ns          131 ns           10
Concat with replace exp_stddev                                                                                      3.30 ns         3.30 ns           10
Concat with replace exp_cv                                                                                          2.52 %          2.52 %            10
-----  Create Empty Str ---------/repeats:1                                                                        0.000 ns        0.000 ns   1000000000000
std::string e;_mean                                                                                                 1.13 ns         1.13 ns           10
std::string e;_median                                                                                               1.10 ns         1.10 ns           10
std::string e;_stddev                                                                                              0.095 ns        0.095 ns           10
std::string e;_cv                                                                                                   8.36 %          8.36 %            10
std::string_view e;_mean                                                                                           0.750 ns        0.750 ns           10
std::string_view e;_median                                                                                         0.736 ns        0.736 ns           10
std::string_view e;_stddev                                                                                         0.038 ns        0.038 ns           10
std::string_view e;_cv                                                                                              5.04 %          5.04 %            10
ssa e;_mean                                                                                                        0.181 ns        0.181 ns           10
ssa e;_median                                                                                                      0.182 ns        0.182 ns           10
